trial_phase,avg_fuel_mass,avg_co2_emissions,avg_speed,fuel_per_nm,co2_per_nm,efficiency_index,fuel_reduction_pct,co2_reduction_pct
pre,225.0,695.6666666666666,13.1,17.178182292686113,53.10872079574369,17.178182292686113,10.666666666666668,7.283181600383321
post,201.0,645.0,13.5,14.89071526897105,47.78135466458557,14.89071526897105,10.666666666666668,7.283181600383321
